timestamp,system_cpu_pct,system_mem_used_mb,system_mem_pct,fastapi_cpu_pct,fastapi_mem_mb,fastapi_threads
23:07:43,12.7,16472,51.0,0.0,23,6
23:07:47,9.0,16495,51.1,0.0,23,6
23:07:52,13.0,16456,51.0,0.0,23,3
23:07:56,10.8,16447,51.0,0.0,23,3
23:08:00,9.3,16456,51.0,0.0,23,3
23:08:04,10.3,16456,51.0,0.0,23,3
23:08:08,12.9,16457,51.0,0.0,23,3
23:08:12,9.4,16417,50.9,0.0,23,3
23:08:16,9.6,16416,50.9,0.0,23,3
23:08:20,9.6,16449,51.0,0.0,23,3
23:08:24,8.9,16460,51.0,0.0,23,3
23:08:28,13.2,16419,50.9,0.0,23,3
23:08:32,16.1,16412,50.9,0.0,23,3
23:08:36,9.3,16415,50.9,0.0,23,3
23:08:40,9.6,16417,50.9,0.0,23,3
23:08:44,10.9,16426,50.9,0.0,23,3
23:08:48,13.3,16416,50.9,0.0,23,3
23:08:52,14.3,16417,50.9,0.0,23,3
23:08:56,12.2,16412,50.9,0.0,23,3
23:09:00,9.7,16427,50.9,0.0,23,3
23:09:04,11.1,16424,50.9,0.0,23,3
23:09:08,8.8,16419,50.9,0.0,23,3
23:09:12,15.9,16418,50.9,0.0,23,3
23:09:16,12.3,16411,50.9,0.0,23,3
23:09:20,16.7,16397,50.8,0.0,23,3
23:09:24,10.6,16403,50.8,0.0,23,3
23:09:28,11.6,16416,50.9,0.0,23,3
23:09:32,13.2,16423,50.9,0.0,23,3
23:09:36,12.0,16414,50.9,0.0,23,3
23:09:40,15.0,16416,50.9,0.0,23,3
23:09:44,9.5,16411,50.9,0.0,23,3
23:09:48,9.3,16433,50.9,0.0,23,3
23:09:52,15.4,16433,50.9,0.0,23,3
23:09:56,11.2,16455,51.0,0.0,23,3
23:10:00,9.2,16463,51.0,0.0,23,3
23:10:04,13.0,16449,51.0,0.0,23,3
23:10:08,12.0,16440,50.9,0.0,23,3
23:10:12,12.3,16439,50.9,0.0,23,3
23:10:16,17.4,16442,50.9,0.0,23,3
23:10:20,10.6,16444,51.0,0.0,23,3
23:10:24,11.6,16453,51.0,0.0,23,3
23:10:28,13.1,16452,51.0,0.0,23,3
23:10:32,12.6,16434,50.9,0.0,23,3
23:10:36,9.3,16445,51.0,0.0,23,3
23:10:40,14.2,16441,50.9,0.0,23,3
23:10:44,13.2,16437,50.9,0.0,23,3
23:10:48,10.4,16441,50.9,0.0,23,3
23:10:52,9.9,16439,50.9,0.0,23,3
23:10:56,10.7,16444,51.0,0.0,23,3
23:11:01,6.1,16437,50.9,0.0,23,3
23:11:05,14.0,16435,50.9,0.0,23,3
23:11:09,12.7,16480,51.1,0.0,23,3
23:11:13,13.0,16480,51.1,0.0,23,3
23:11:17,6.4,16477,51.1,0.0,23,3
23:11:21,23.3,16505,51.1,0.0,23,3
23:11:25,7.0,16507,51.2,0.0,23,3
23:11:29,7.2,16509,51.2,0.0,23,3
23:11:33,9.1,16503,51.1,0.0,23,3
23:11:37,7.9,16514,51.2,0.0,23,3
23:11:41,6.2,16506,51.1,0.0,23,3
23:11:45,6.2,16507,51.1,0.0,23,3
23:11:49,6.4,16505,51.1,0.0,23,3
23:11:53,3.3,16438,50.9,0.0,23,3
23:11:57,11.5,16446,51.0,0.0,23,3
23:12:01,4.1,16445,51.0,0.0,23,3
23:12:05,3.5,16446,51.0,0.0,23,3
23:12:09,3.5,16448,51.0,0.0,23,3
23:12:13,4.1,16442,50.9,0.0,23,3
23:12:17,7.4,16200,50.2,0.0,23,3
23:12:21,8.2,16190,50.2,0.0,23,6
23:12:25,8.8,16166,50.1,0.0,23,6
23:12:29,3.5,16170,50.1,0.0,23,6
23:12:33,4.6,16173,50.1,0.0,23,6
23:12:37,2.6,16173,50.1,0.0,23,6
23:12:41,3.1,16170,50.1,0.0,23,6
23:12:45,2.7,16173,50.1,0.0,23,6
23:12:49,2.3,16169,50.1,0.0,23,6
23:12:53,2.5,16173,50.1,0.0,23,6
23:12:57,2.9,16164,50.1,0.0,23,6
23:13:01,3.1,16170,50.1,0.0,23,6
23:13:05,3.1,16171,50.1,0.0,23,6
23:13:09,3.9,16168,50.1,0.0,23,6
23:13:13,5.3,16166,50.1,0.0,23,6
23:13:17,4.5,16167,50.1,0.0,23,6
23:13:21,4.3,16170,50.1,0.0,23,6
23:13:25,4.1,16171,50.1,0.0,23,6
23:13:29,4.1,16155,50.1,0.0,23,6
23:13:33,3.7,16151,50.0,0.0,23,6
23:13:37,7.0,16148,50.0,0.0,23,6
23:13:41,3.5,16151,50.0,0.0,23,6
23:13:45,3.5,16152,50.0,0.0,23,6
23:13:49,3.3,16151,50.0,0.0,23,6
23:13:53,3.1,16148,50.0,0.0,23,6
23:13:57,2.1,16151,50.0,0.0,23,6
23:14:01,2.5,16150,50.0,0.0,23,3
23:14:05,5.7,16147,50.0,0.0,23,3
23:14:10,3.7,16150,50.0,0.0,23,3
23:14:14,4.1,16153,50.1,0.0,23,3
23:14:18,23.1,16209,50.2,0.0,23,3
23:14:22,6.4,16158,50.1,0.0,23,3
