timestamp,system_cpu_pct,system_mem_used_mb,system_mem_pct,fastapi_cpu_pct,fastapi_mem_mb,fastapi_threads
22:00:14,12.8,16530,51.2,0.0,4,2
22:00:18,7.4,16580,51.4,0.0,4,2
22:00:22,14.5,16460,51.0,0.0,4,1
22:00:26,5.9,16290,50.5,0.0,4,1
22:00:30,5.2,16257,50.4,0.0,4,1
22:00:34,13.9,16317,50.6,0.0,4,1
22:00:38,12.4,16321,50.6,0.0,4,1
22:00:42,10.3,16324,50.6,0.0,4,1
22:00:46,6.6,16283,50.5,0.0,4,1
22:00:50,14.8,16284,50.5,0.0,4,1
22:00:54,15.2,16315,50.6,0.0,4,1
22:00:58,14.5,16313,50.5,0.0,4,1
22:01:02,11.2,16311,50.5,0.0,4,1
22:01:06,11.0,16309,50.5,0.0,4,1
22:01:10,10.6,16278,50.4,0.0,4,1
22:01:15,9.6,16281,50.5,0.0,4,1
22:01:19,11.4,16279,50.4,0.0,4,1
22:01:23,10.5,16289,50.5,0.0,4,1
22:01:27,14.0,16288,50.5,0.0,4,1
22:01:31,13.2,16274,50.4,0.0,4,1
22:01:35,11.9,16285,50.5,0.0,4,1
22:01:39,10.1,16277,50.4,0.0,4,1
22:01:43,14.2,16287,50.5,0.0,4,1
22:01:47,10.4,16283,50.5,0.0,4,1
22:01:51,15.3,16279,50.4,0.0,4,1
22:01:55,14.6,16287,50.5,0.0,4,1
22:01:59,18.4,16299,50.5,0.0,4,1
22:02:03,19.8,16287,50.5,0.0,4,1
22:02:07,14.8,16270,50.4,0.0,4,1
22:02:11,25.0,16239,50.3,0.0,4,1
22:02:15,14.6,16240,50.3,0.0,4,1
22:02:19,13.8,16238,50.3,0.0,4,1
22:02:23,14.7,16231,50.3,0.0,4,1
22:02:27,19.2,16279,50.4,0.0,4,1
22:02:31,13.5,16240,50.3,0.0,4,1
22:02:35,24.1,16235,50.3,0.0,4,1
22:02:39,17.0,16236,50.3,0.0,4,1
22:02:43,16.9,16238,50.3,0.0,4,1
22:02:47,18.4,16242,50.3,0.0,4,1
22:02:51,17.1,16237,50.3,0.0,4,1
22:02:55,14.8,16237,50.3,0.0,4,1
22:02:59,21.5,16240,50.3,0.0,4,1
22:03:03,19.9,16239,50.3,0.0,4,1
22:03:07,16.8,16241,50.3,0.0,4,1
22:03:11,19.6,16239,50.3,0.0,4,1
22:03:15,18.2,16237,50.3,0.0,4,1
22:03:19,18.5,16230,50.3,0.0,4,1
22:03:23,20.2,16245,50.3,0.0,4,1
22:03:27,22.5,16235,50.3,0.0,4,1
22:03:31,27.3,16274,50.4,0.0,4,1
22:03:35,22.5,16281,50.4,0.0,4,1
22:03:39,24.0,16274,50.4,0.0,4,1
22:03:43,21.7,16273,50.4,0.0,4,1
22:03:47,27.4,16256,50.4,0.0,4,1
22:03:51,20.3,16246,50.3,0.0,4,1
22:03:55,25.7,16249,50.4,0.0,4,1
22:03:59,22.6,16290,50.5,0.0,4,1
22:04:03,19.2,16285,50.5,0.0,4,1
22:04:07,23.6,16246,50.3,0.0,4,1
22:04:11,23.7,16256,50.4,0.0,4,1
22:04:15,20.0,16239,50.3,0.0,4,1
22:04:19,27.4,16249,50.4,0.0,4,1
22:04:23,26.7,16212,50.2,0.0,4,1
22:04:28,23.2,16211,50.2,0.0,4,1
22:04:32,25.5,16211,50.2,0.0,4,1
22:04:36,24.2,16226,50.3,0.0,4,1
22:04:40,24.1,16226,50.3,0.0,4,1
22:04:44,21.7,16223,50.3,0.0,4,1
22:04:48,21.6,16238,50.3,0.0,4,1
22:04:52,18.4,16227,50.3,0.0,4,1
22:04:56,21.5,16229,50.3,0.0,4,3
22:05:00,22.2,16239,50.3,0.0,4,3
22:05:04,24.8,16245,50.3,0.0,4,3
22:05:08,20.3,16226,50.3,0.0,4,3
22:05:12,22.8,16230,50.3,0.0,4,3
22:05:16,28.7,16246,50.3,0.0,4,3
22:05:20,28.5,16233,50.3,0.0,4,3
22:05:24,24.9,16214,50.2,0.0,4,3
22:05:28,30.1,16234,50.3,0.0,4,3
22:05:32,31.9,16274,50.4,0.0,4,3
22:05:36,29.7,16261,50.4,0.0,4,3
22:05:40,26.4,16226,50.3,0.0,4,3
22:05:44,27.8,16237,50.3,0.0,4,3
22:05:48,26.5,16234,50.3,0.0,4,3
22:05:52,32.0,16222,50.3,0.0,4,3
22:05:56,27.3,16232,50.3,0.0,4,3
22:06:00,27.6,16234,50.3,0.0,4,3
22:06:04,23.0,16236,50.3,0.0,4,3
22:06:08,28.2,16236,50.3,0.0,4,3
22:06:12,25.2,16235,50.3,0.0,4,3
22:06:16,27.4,16233,50.3,0.0,4,3
22:06:20,37.1,16250,50.4,0.0,4,3
22:06:24,23.7,16241,50.3,0.0,4,3
22:06:28,28.9,16247,50.3,0.0,4,3
22:06:32,25.5,16245,50.3,0.0,4,3
22:06:36,22.5,16240,50.3,0.0,4,1
22:06:40,25.4,16249,50.3,0.0,4,1
22:06:44,24.6,16248,50.3,0.0,4,1
22:06:48,28.8,16262,50.4,0.0,4,1
22:06:52,24.6,16299,50.5,0.0,4,1
22:06:56,27.4,16307,50.5,0.0,4,1
22:07:00,24.8,16268,50.4,0.0,4,1
22:07:04,29.4,16216,50.2,0.0,4,1
22:07:08,26.8,16220,50.3,0.0,4,1
22:07:12,24.5,16225,50.3,0.0,4,1
22:07:16,21.3,16217,50.3,0.0,4,1
22:07:20,29.0,16220,50.3,0.0,4,1
22:07:24,28.3,16227,50.3,0.0,4,1
22:07:28,26.3,16224,50.3,0.0,4,1
22:07:32,25.7,16221,50.3,0.0,4,1
22:07:36,31.0,16257,50.4,0.0,4,1
22:07:41,26.2,16264,50.4,0.0,4,1
22:07:45,27.9,16260,50.4,0.0,4,1
22:07:49,29.2,16230,50.3,0.0,4,1
22:07:53,26.2,16229,50.3,0.0,4,1
22:07:57,26.7,16214,50.2,0.0,4,1
22:08:01,35.5,16227,50.3,0.0,4,1
22:08:05,24.7,16216,50.2,0.0,4,1
22:08:09,33.4,16218,50.3,0.0,4,1
22:08:13,22.7,16228,50.3,0.0,4,1
22:08:17,26.3,16221,50.3,0.0,4,1
22:08:21,30.9,16222,50.3,0.0,4,1
22:08:25,28.0,16269,50.4,0.0,4,1
22:08:29,29.7,16258,50.4,0.0,4,1
22:08:33,30.5,16227,50.3,0.0,4,1
22:08:37,25.9,16227,50.3,0.0,4,1
22:08:41,28.3,16226,50.3,0.0,4,1
22:08:45,30.8,16225,50.3,0.0,4,1
22:08:49,27.4,16229,50.3,0.0,4,1
22:08:53,31.6,16225,50.3,0.0,4,1
22:08:57,24.6,16238,50.3,0.0,4,1
22:09:01,23.6,16228,50.3,0.0,4,1
22:09:05,27.9,16227,50.3,0.0,4,1
22:09:09,25.4,16237,50.3,0.0,4,1
22:09:13,21.4,16236,50.3,0.0,4,1
22:09:17,21.9,16243,50.3,0.0,4,1
22:09:21,24.8,16238,50.3,0.0,4,1
22:09:25,22.1,16233,50.3,0.0,4,1
22:09:29,23.6,16236,50.3,0.0,4,1
22:09:33,23.2,16239,50.3,0.0,4,1
22:09:37,23.4,16231,50.3,0.0,4,1
22:09:41,26.1,16222,50.3,0.0,4,1
22:09:45,23.7,16034,49.7,0.0,4,1
22:09:49,28.8,16021,49.6,0.0,4,1
22:09:53,27.7,16019,49.6,0.0,4,2
22:09:57,23.1,16031,49.7,0.0,4,2
22:10:01,21.6,16022,49.6,0.0,4,2
22:10:05,31.4,16031,49.7,0.0,4,2
22:10:10,25.9,16030,49.7,0.0,4,2
22:10:14,23.1,16026,49.7,0.0,4,2
22:10:18,25.4,16029,49.7,0.0,4,2
22:10:22,27.8,16042,49.7,0.0,4,2
22:10:26,27.7,16036,49.7,0.0,4,2
22:10:30,23.8,16029,49.7,0.0,4,2
22:10:34,21.8,16040,49.7,0.0,4,2
22:10:38,26.1,16037,49.7,0.0,4,2
22:10:42,25.8,16043,49.7,0.0,4,2
22:10:46,21.5,16038,49.7,0.0,4,2
22:10:50,27.7,16035,49.7,0.0,4,2
22:10:54,26.7,16032,49.7,0.0,4,2
22:10:58,22.7,16035,49.7,0.0,4,2
22:11:02,21.9,16035,49.7,0.0,4,2
22:11:06,28.7,16035,49.7,0.0,4,1
22:11:10,23.0,16040,49.7,0.0,4,1
22:11:14,28.6,16041,49.7,0.0,4,1
22:11:18,24.3,16036,49.7,0.0,4,1
22:11:22,41.7,16095,49.9,0.0,4,1
22:11:26,41.8,16372,50.7,0.0,4,1
22:11:30,29.7,16324,50.6,0.0,4,1
22:11:34,28.8,16310,50.5,0.0,4,1
22:11:38,35.4,16419,50.9,0.0,4,1
22:11:42,31.0,16650,51.6,0.0,4,1
22:11:46,27.4,16552,51.3,0.0,4,1
22:11:50,27.2,16541,51.3,0.0,4,1
22:11:54,27.1,16528,51.2,0.0,4,1
